條文號碼,卦,條文
5353,離,大運壬辰喜率方 數推順逆兩分張 上五年中增吉慶 下五辰運出災殃
5354,噬嗑,五行金木水火土 陰陽相應如桴鼓 問君誕降是何日 正逢正月二十五
5355,鼎,讀書不善務生涯 遊樂行中第一家 手弄皮人口對口 文章格外花生花
5356,未濟,天定良緣結雁儔 梅花清福幾生修 蘭房惠女真佳偶 月下花前樓外樓
5357,旅,循環相應如桴鼓 壽算安君七十五 秋後梧桐落一葉 逍遙扶杖天台路
5358,晉,運至本年不順通 謀為一樣總難成 勸君緩待時機至 口舌是非中有生
5361,大有,乾坤堂上定生庚 母屬蛇兮父屬龍 堂上雙親白髮老 南山比壽看筠松
5362,睽,父命屬龍命不祥 屬豬慈母赴仙鄉 永無懷橘酬恩日 淚洒堂前哭斷腸
5363,離,行也安祥坐也寧 常懷惻隱有聲名 早年起伏分成敗 晚歲逍遙甚主榮
5364,噬嗑,生在辰時性格剛 貴人見喜晚年芳 須知福德天常佑 遇險平安化吉祥
5365,鼎,庭前丹桂太芬芳 數定先天注吉祥 他人少了奉祀子 帶去麟枝作過房
5366,未濟,欲知妻室數中求 弄玉吹簫引鳳樓 麗氏佳人真夙締 關睢新詠在河洲
5367,旅,本星入命定成凶 日沒西方不向東 八十七歲君已矣 世緣福壽一番空
5368,晉,五千三百定終身 坤到屯宮數注真 萬卷與君無掛疑 五湖貿易本君能
5371,大有,六合吉星入命宮 逢源左右面春風 求名博利皆如意 一片前途錦繡中
5372,睽,六刻時辰犯剋星 雙親位上不分明 堂前岡極難言報 自立他鄉樹令名
5373,離,五刻時生配合真 平生只以德為粼 輕財重義交朋友 天自不虛玉汝成
5374,噬嗑,辰時注命早安排 勞碌奔波不聚財 好結友人兼善惡 不知方便也難開
5375,鼎,辰歲生人命屬龍 家圓興旺福享隆 安然處世和平好 桂子蘭孫看發榮
5376,未濟,藍田種玉是前因 配就佳人毛氏身 欲奏瑤琴有良伴 花前月下正相親
5377,旅,命中數定犯刑傷 剋去佳人已兩房 三次又逢花燭會 屬龍良偶得安康
5378,晉,命中注得五行清 驛馬相逢到歲庚 在家何如出外好 求財貿惕大崢嶸
5381,大有,命逢朱雀禍重重 口舌是非甚不寧 凡事到頭多鎖碎 提防須到十分中
5382,睽,早歲榮華中歲空 只因辰日犯刑沖 時來風送滕王閣 運去碑遭雷火轟
5383,離,五千三百八十三 為人正真無曲灣 順其意氣倒無事 話不投機出事端
5384,噬嗑,辰時命注犯刑沖 骨肉無情水炭中 以怨報恩成慣事 勸君忍耐莫相同
5385,鼎,巽宮火到數分明 難靠六親自保存 白手創成家業盛 離家別祖自長榮
5386,未濟,月下老人不憚煩 紅繩遍結在人間 君妻章氏前生定 舉案齊眉共比山
5387,旅,數定妻宮犯剋傷 已傷蘭室有三房 再配屬龍方安妥 白頭偕老保安祥
5388,晉,推君造化究何如 場上榮華轉眼虛 忽貴忽賤隨時變 狀元及第不勝書
5411,大壯,陰變陽合數非假 父命屬龍母屬馬 堂上雙親百事享 桂蘭種在庭階下
5412,歸妹,數注命中子息宮 丹桂庭前一子成 天賜麟兒綿世澤 生庚推算是辰龍
5413,豐,六刻生人少弟兄 雙親堂上父難存 萱堂有壽移鳩杖 晚歲悠悠福更臻
5414,震,無言桃李自成蹊 燕子斜飛影不齊 生辰三月二十一 黃鶯不住聲聲啼
5415,恒,儒雅溫文行有方 生來和氣可迎祥 性情惇厚為人敬 言語端莊慎且詳
5416,解,運到甲辰諸事通 恰如順水一帆風 財源如水隨時得 地利人和更不同
5417,小過,甲辰生人逢既濟 數定不久業人世 莫謂陰陽無定準 許君壽享七十四
5418,豫,時至四月算三月 堂上燭光紅似血 二十一日君降生 好比桂枝飄一葉
5421,大壯,雙親堂上兩康強 父命屬龍母屬羊 白髮酡顏開壽域 庭前丹桂正昂藏
5422,歸妹,命中子息注前生 丹桂庭前二子成 莫謂先天非定數 長子生庚是屬龍
5423,豐,生逢六刻順時辰 兄弟宮中只二人 堂上雙親先去父 留將慈母壽遐齡
5424,震,春風吹到綠枝條 無數垂楊盡折腰 生逢三月廿二日 黃鶯出谷一聲嬌
5425,恒,生性和平不好強 謙恭一體及溫良 小心步伐多安穩 如此賢來君子堂
5426,解,運到丙辰五福臨 財源如意錦衣新 書錦堂前添吉夢 四時八節看長春
5427,小過,丙辰沙中土最強 聲名載錫正高揚 莫謂陰陽無定數 八十三歲夢黃梁
5428,豫,時在三月春用事 鳥嗚出谷聲聲在 問君生辰是何日 閏三正逢二十二
5431,大壯,陰陽變合定剛柔 父命屬龍母屬猴 注定高堂開上壽 依然春日照南樓
5432,歸妹,詳稚子息定命宮 法算先天數最靈 長郎必是屬龍相 丹桂庭前三子成
5433,豐,六刻時辰定得清 同氣連枝三弟兄 雙親堂上先去父 萱堂在世享遐齡
5434,震,桃李紛開遍滿山 庭肖有草種宜男 生辰相問是何日 恰逢三月二十三
5435,恒,命犯瘋狂不自由 如痴如醉滿天遊 無魂少魄胡言語 造化安排獄外囚
5436,解,戊辰運有貴人逢 問利求名自可通 旱季正來霖雨潤 木凋忽遇起春風
5437,小過,戊辰大林木主事 天定遐齡分序次 造化無私卻有權 許君壽活七十四
5438,豫,桃李成蹊不一山 千紅萬紫看人間 生辰何日為酋誕 生值閏三二十三
5441,大壯,雙親堂上正相齊 父命屬龍母屬雞 數注先天皆一定 修來福祿共齊眉
5442,歸妹,花開四朵映雙溪 數內相推各不齊 長子屬龍能自立 少年身到鳳凰池
5443,豐,花開棠棣各生香 兄弟宮中正兩雙 六刻時辰先去父 萱堂壽域本無疆
5444,震,雨後花開新又新 一年佳勝在三春 生辰三月二十四 始服先天定得真
5445,恒,夜郎未必能稱國 三代皆非信史傳 空向人前誇海口 可憑羽翼上青天
5446,解,交到庚辰運順通 月明雲瀲照當空 花開正值春風內 人在山川錦繡中
5447,小過,庚辰屬龍白臘金 壽享七十有七春 犬吠雞嗚如一夢 猴山上見白雲生
5448,豫,生逢閏三二十四 春去夏來日更長 送爽荷風樓閣靜 高堂正慶育賢郎
5451,大壯,父相屬龍母屬狗 同享遐齡壽長久 根深本固在源清 堪羡椿萱積德厚
5452,歸妹,君生長子是何年 數注屬龍非偶然 又定五郎綿嗣澤 花開棣萼各春風
5453,豐,天邊鴻雁任飛嗚 手足宮中五弟兄 六刻時辰先去父 母親堂上壽如松
5454,震,草長鶯飛春漸深 翩翩樑燕渡江濱 生逢三月廿五日 始信先天定得真
5455,恒,為人生性太稱強 人說短兮貪說強 話不投機生煩惱 雷霆火急不商量
5456,解,壬辰運上主享通 春暖花開色正紅 家宅平安多吉慶 盈門財喜暗相逢
5457,小過,長流水命注壬辰 修短由天不在人 八十五歲南柯夢 緱山魂去白雲深
5458,豫,浪裡桃花嫩又嬌 閏逢三月到春梢 生辰此月二十五 丹桂庭前一葉飄
5461,大壯,數注先天福命真 雙親庚相亦分明 父生辰歲母生亥 同主遐齡白髮新
5462,歸妹,一樹花開朵朵紅 門庭日日到春風 長郎必是屬龍相 六子堂前性不同
5463,豐,柳絮經風吹更長 弟兄六位整三雙 生逢六刻先亡父 鴒原各自立門牆
5464,震,生在辰時入貴鄉 鴿原手足各榮光 陰陽既齊卦爻順 喜氣迎祥主吉昌
5465,恒,性情大不與人同 人在西方貪去東 知已生平曾有幾 惟多白眼看長空
5466,解,辰時注命有良壽 錦繡名成五鳳樓 身在外藩司教化 陞遷百里更封侯
5467,小過,魂魄悠悠去帝鄉 斤斤何必問行藏 先天誰謂無成數 今且罰君酒一觴
5468,豫,數定時辰六刻生 人稱國手有賢名 溫涼補洩君臣樂 寬速沈浮六脈清
5471,大壯,須信數中自有神 知君外郡娶夫人 晚年五子堂前立 蘭桂齊榮亦自親
5472,歸妹,花開茂盛在三春 七子生成數注清 莫謂先天無定準 長郎必是屬龍人
5473,豐,花開棠棣發奇香 兄弟七人共一堂 六刻生辰先去父 內中須作石皮防
5474,震,妻宮數定不周全 注定先天不偶然 殘室屬龍藏代破 早須主剋晚安然
5475,恒,辰月生人遇吉星 豐盈財祿自天成 坐享祖父宮中業 壽比南山不老松
5476,解,生值辰時是宿儒 揮毫落紙滿篇珠 名稱貢士黌宮樂 盈門桃李自相娛
5477,小過,數定先天最是真 慈悲惻隱自通神 卹孤救老多行善 口唸南無觀音經
5478,豫,注定生來性最靈 外科精習有奇能 回天妙手人欽敬 遠近爭傳立大名
5481,大壯,須信數中有鬼神 花開花落幾番新 堂前四母皆天定 從來由命不由人
5482,歸妹,一樹花開朵朵紅 命中八子注分明 長郎必是屬龍相 其內須防犯破沖
5483,豐,天邊鴻雁正翱翔 兄弟宮中整四雙 六刻生辰先去父 萱堂世上保安康
5484,震,秋來葉落漸凋零 桃李花殘總不任 妻室屬龍徒費力 子星艱貴甚難成
5485,恒,命定先天犯五刑 六親之內靠何人 生逢六刻多顛倒 獨自持家待晚成
5486,解,生逢六刻是針工 手執剪刀快似風 裁出綾羅還結領 天孫手段與君同
5487,小過,五行配合不安康 筋骨留形兩足傷 枴杖不離常手執 如無此破早夭亡
5488,豫,專與為人眼內研 撥開雲霧見青天 好人好報留餘慶 注定晚年福壽綿
5511,小畜,花開最好值春風 堂上嬉嬉樂自融 命限初交五歲運 正如旭日在陞東
5512,中孚,數在先天法最密 恩星相照最為吉 問君誕降在何時 父歲方交一十七
5513,家人,鴛鴦飛散不成雙 獨坐孤燈守夜諒 再要弦琴求接續 佳人姓氏必為王
5514,益,似火榴花朵朵鮮 翩翩蝴蝶舞花前 生辰五月二十一 一顆明珠掌上懸
5515,巽,紅葉題詩在水邊 佳人席氏必稱賢 和嗚鷥鳳酬痴念 今世還修再世緣
5516,渙,運到甲辰主有災 重重禍患損錢財 若能謹守安心過 雲去自然明月來
5517,漸,甲日戊辰遇貴星 胸羅萬卷葦生風 青雲有路攀丹桂 注定玉堂進士公
5518,觀,池上蓮花映綠葉 榴開朵朵紅如血 生辰閏五二十一 星斗滿天堂上悅
5521,小畜,二刻時逢福祿全 一雙蝴蝶舞翩翩 蘭房配就屬龍女 並蒂蓮開色自鮮
5522,中孚,查出乾坤數內有 榮華注定能長久 君身欲問何年降 父歲方交二十九
5523,家人,刑沖入命剋傷多 數定先天奈若何 若欲蘭房偕久夢 必逢仲氏結絲維
5524,益,桃花滿院弄春紅 報與高堂夢葉熊 生辰五月二十二 深恩岡極與末同
5525,巽,桃李花開色正鮮 人間正問是何年 蘭房簡氏為佳配 中饋治家必注賢
5526,渙,月被雲遮不發光 秋風凄切看衰楊 丙辰鎖碎難言吉 看是平地卻是坑
5527,漸,乙日庚辰時最清 天梯雲路主高陞 陰陽莫謂難稚斷 金榜知君兩次名
5528,觀,端陽又閏遇佳節 時至六月數五月 二十二日君降生 竹影風搖落一葉
5531,小畜,時辰三刻定姻緣 鷥鳳和嗚不偶然 佳人注就屬龍相 正羡鴛鴦比作仙
5532,中孚,陰陽變化識者稀 五行四柱定根基 若問君身何日降 父年方交四十一
5533,家人,數注刑傷犯命中 人生必主剋妻宮 續弦魏氏真佳偶 前世梅花並一縱
5534,益,荷擎翠蓋舞薰風 水面文章葉在中 五月廿三君身降 盈樽喜酒滿堂紅
5535,巽,結配姻緣仗媒灼 赤繩早把佳人合 瑤琴雙在洞房彈 數注相親卿姓霍
5536,渙,運到戊辰宜守拙 花開必被狂風折 先天數定無改移 疾病是非招口舌
5537,漸,生逢丙日壬辰時 學富五車並九思 直上鵬程看獨步 由來造化本無私
5538,觀,時逢仲夏艷陽天 月建未宮離火邊 閏五廿三君生降 梧桐凄鳳在堂前
5541,小畜,四刻時辰定得真 屬龍女性配成婚 唱隨一世同偕老 月下花間麗影親
5542,中孚,長庚拱照在人間 嚴父生君五十三 子息早遲原數定 階前仙草種宜男
5543,家人,三尺冥冥上有神 妻宮剋去不由人 再娶蘭房楊氏女 因緣和合喜相親
5544,益,天地轉合無虛數 生逢五月二十四 祖宗積德留餘慶 到底皇天曾不負
5545,巽,配合姻緣莫改移 蘭房姓氏必為裴 月圓花好春常在 偕老百年福祿宜
5546,渙,庚辰運上有虛驚 求利求名總不成 事不前心多喪志 災殃難免暗中生
5547,漸,丁日甲辰遇貴星 詩書萬卷在胸中 南宮已報佳音捷 數注科名進士公
5548,觀,端陽月過又端陽 角黍投之水一方 生逢閏五二十四 梧桐樹上降棲凰
5551,小畜,五刻生人遇好逑 關關相詠在河洲 屬龍配得真佳偶 天定姻緣作匹儔
5552,中孚,五千五百數推真 算得何年君降生 慈母生君年十七 當時頭角已崢嶸
5553,家人,妻宮數定有刑傷 元配佳人命不長 再配蘭房關氏女 春風蝴蝶自成雙
5554,益,蟠桃果熟遇薰風 吹上君家一閣中 生辰五月二十五 舉樽共祝滿堂紅
5555,巽,數定蘭房柳氏女 同衾午夜聽嗚雞 如賓如友閨中樂 天上人間福祿齊
5556,渙,運至壬辰諸不享 破財口舌暗頻生 好將淡泊隨緣去 莫更營謀望有成
5557,漸,戊日丙辰遇文明 已許青雲足下生 莫謂前程難及料 知君金榜兩題名
5558,觀,端陽重逢又佳節 時至六月歸五月 二十五日君身降 丹桂枝頭落一葉
5561,小畜,生逢六刻定妻宮 結配佳人必屬龍 早起晚眠勤儉德 齊眉舉案孟光風
5562,中孚,陰陽造化無生有 數定奇中還主偶 問君誕降在何期 母年正交二十九
5563,家人,無情數注兩分離 剋去蘭房結髮妻 再娶佳人董氏女 修來鴻案舉眉齊
5564,益,天邊鴻飛雁還翔 一樹花開一半寅 注定數中招六子 臨終只剩有三郎
5565,巽,數遇恩星天地開 人生子息命招來 妻年十七生一子 門外懸弧酒一杯
5566,渙,六刻時辰數自清 身藏暗貴有奇能 公門出入貴人愛 並主豐充晚景榮
5567,漸,生逢六刻吉時辰 父子伴宮俱有名 文學如山難更上 青雲有路不宜行
5568,觀,命中注定性剛強 志氣軒軒甚發煌 仗義疏財好朋友 廣開樽酒款華堂
5571,小畜,紅葉題詩水上流 蘭房端在屬龍求 時生七刻原為吉 春日吹簫引鳳樓
5572,中孚,五千五百命身宮 雨後開花色正濃 母年生君四十一 果然符兆產罷熊
5573,家人,數中注定剋妻宮 元配佳人主早亡 再配蘭房鮑氏女 先天造化得安祥
5574,益,時辰六刻犯孤星 剋刑兒郎勢不成 養子原為防備老 百年之後誰送靈
5575,巽,蟠桃結果在中庭 男女宮中數主榮 妻年二十零九歲 果然應兆產麒麟
5576,渙,生逢六刻值魁元 貴顯隨身自可言 只合離家千里外 邊疆立業受殊恩
5577,漸,六刻生人命若何 文登月殿會嫦娥 更招公子同遊泮 佇看錦衣嗚玉珂
5578,觀,數在五行配合強 為人方正姓名揚 和平處世存惇厚 衣祿豐盈福壽長
5581,小畜,八刻時辰定得真 佳人必配屬龍人 月圓花好天增壽 三尺舉頭自有神
5582,中孚,生逢辰月晚年豐 衣食充盈福更隆 早歲艱難都歷遍 老來故主受享通
5583,家人,數內原知有鬼神 妻宮剋去不由人 蘭房崔氏新佳偶 月下花前笑共親
5584,益,立命安身數不寧 宮中子息付伶仃 雖然養育難成立 臨老送終一螟蛉
5585,巽,數內陰陽定自天 早遲生子亦前緣 妻年四十零七歲 喜生一子續香煙
5586,渙,六刻時辰做木匠 修樓蓋閣有新樣 上敬生師是魯班 方圓規矩曾不亂
5587,漸,六刻生逢是貴時 文章如海早人知 重遊泮水從來事 福祿定君正極宜
5588,觀,性格平生無曲灣 不知人世有行姦 開口真心見肺腑 作乖弄巧總難安
5611,需,五千六百遇辰宮 堂上雙親犯自沖 屬鼠慈母先去世 屬龍嚴父壽如松
5612,節,長庚星照在堂前 子息宮中不偶然 妻相屬龍生一子 滿堂飛羽奏歌弦
5613,既濟,人生二刻定良緣 結就朱陳永百年 夫主屬龍天數定 鴛鴦一對喜團圓
5614,屯,梧桐葉落在何日 正逢七月二十一 君身此日正降生 熊罷入夢兆元吉
5615,井,先天數定手足宮 同氣連枝三弟兄 次第排來君是二 一兄一弟性不同
5616,坎,運到甲辰半不寧 上五甲運枉勞心 待交辰運安然好 雲開月出見光明
5617,蹇,己日戊辰時最奇 注定文齊福又齊 扶搖直上青雲路 扳折瓊林第一枝
5618,比,重駕鵲橋待渡河 河邊鵲陣影婆娑 生辰閏七二十一 酒飲千杯不算多
5621,需,雙親堂上定生年 長短不齊注自天 母相屬牛先剋去 屬龍嚴父保安然
5622,節,先天易理最精微 過去未來皆預知 妻相屬龍生二子 晚年祿與壽同齊
5623,既濟,數定時辰三刻生 屬龍夫相定分明 同衾共枕稱佳偶 相敬如賓家道成
5624,屯,從來瓜瓞慶綿綿 池上蓮開伴柳煙 生辰七月二十二 芙蓉出水更嫣然
5625,井,天邊鴻雁正高翔 兄弟五人不成雙 同氣連枝君最幼 石皮之患有須防
5626,坎,交運丙辰分吉凶 破財口舌事多逢 待交下五辰字位 恰比乘船遇順風
5627,蹇,庚日正遇庚辰時 鵬程萬里展旌旗 玉堂金馬文星顯 沐受皇恩拜帝畿
5628,比,重逢牛女在天邊 秋樹西風斷續蟬 生逢閏七二十二 一枝丹桂出房前
5631,需,乾坤二相犯刑沖 屬虎萱堂主早終 嚴父屬龍堂上立 逍遙晚歲壽如松
5632,節,子息原來數在天 花開花謝各因緣 屬龍妻相生三子 滾滾明珠掌上懸
5633,既濟,生緣上刻命中清 配合夫君必屬龍 月老注就無移改 許君偕老壽如松
5634,屯,鵲橋排隊是七月 天上人間同一說 二十三日君安降 竹影風搖落一葉
5635,井,長流水是出源清 同氣連枝七弟兄 次第排來君是五 名立門牆各自榮
5636,坎,交到戊辰吉合凶 上五不免有虛驚 下五辰運安且吉 庭前台上滿春風
5637,蹇,辛日壬辰遇貴星 生平金榜去題名 全看足下青雲起 時至衣冠拜帝城
5638,比,造化無私卻有權 玉菱花發在庭前 生辰閏七廿三日 出水蓉枝色處鮮
5641,需,五千六百雷火豐 修短乾坤數不同 屬兔母親先去世 屬龍嚴父壽如松
5642,節,姻緣配合本天生 待到花開子結成 妻相屬龍生四子 先天注定自然真
5643,既濟,時辰五刻定姻緣 夫相屬龍定自天 相敬如賓真匹配 由來美玉出藍田
5644,屯,時到秋風發桂花 長天一色看飛霞 生辰七月二十四 且喜丹枝早茁芽
5645,井,飛來鴻雁各高翔 金菊開時發異香 兄弟八人身屬五 內中駿免石皮傷
5646,坎,庚辰大運定分明 上下五年辨吉凶 上五災殃添疾病 下五喜色保安寧
5647,蹇,壬日甲辰時文明 鵬飛萬里識前程 有緣雲路常相遇 時來金榜必題名
5648,比,夜半鵲橋重渡河 滿天星斗送金波 生逢閏七二十四 酒上千觴不算多
5651,需,恆到離宮數犯沖 兩親修短壽分明 椿萱同是屬龍相 注定慈母在先終
5652,節,滿院花開紅又香 妻宮生得五兒良 桂蘭繞膝娛光景 前世修來今世祥
5653,既濟,生逢六刻定良緣 夫相屬龍非偶然 琴瑟台前歌靜好 雙雙福祿計遐年
5654,屯,渡罷鵲橋猶七月 碧芝池上飛蝴蝶 二十五日君降生 風搖燭影花中結
5655,井,造化無影又無蹤 手足宮中定得清 昂凝九人身在六 原來不是一娘生
5656,坎,運到壬辰有不享 上五壬運犯災刑 下五辰運光明照 出外在家福自臨
5657,蹇,癸日丙辰時貴星 蟾宮殿裡照功名 鵬程萬里終須到 指日高陞佐聖明
5658,比,牛女重逢星滿天 西風凄切送寒蟬 生逢閏七二十五 美酒堂中慶喜宴
5661,需,乾坤二相犯刑沖 數注先天壽不同 母命屬蛇先去世 屬龍嚴父壽如松
5662,節,配得妻宮定屬龍 賢能勤儉守三從 一樹花開生六子 招來兄友弟謙恭
5663,既濟,時生七刻定姻緣 夫相屬龍到百年 月前階下相盟誓 只有鴛鴦可比仙
5664,屯,生逢六刻時最真 命注剋妻惱殺人 孤枕獨眠風雨夕 一床棉被冷冰冰
5665,井,紛飛鴻雁各西東 兄弟三人心不同 次第排來君在幼 原來不是一娘生
5666,坎,命中異硬出平常 早晚空門去上香 削發為僧心不慣 忽然還俗想家鄉
5667,蹇,辰時生得命中榮 印綬官逢是貴人 寵錫自非常可比 衣冠象間上朝廷
5668,比,研習五行性本靈 善知地脈與來龍 青龍朱雀分高下 休咎都憑掌握中
5671,需,女命辰時注得清 端庄賢淑性和平 治家立業相夫子 必定晚年更發榮
5672,節,春風桃李正花開 鷥鳳和嗚飲玉杯 妻相屬龍生七子 齊眉案影福頻來
5673,既濟,八刻時奪有福祿 全屬龍夫相立房 前瑤琴共奏同心 結枕同偕到百年
5674,屯,六刻時辰定自天 老夫少妻結好緣 莫道先天無定數 殘婚晚配主安然
5675,井,南飛鴻雁欲還鄉 手足六人不一娘 一有二兄下三弟 雨後花開各自芳
5676,坎,時生六刻數分明 注定天來武曲星 儒學不成先習劍 孫吳弢略蘊胸中
5677,蹇,生在辰時命最強 虎威萬里人稱王 彤弓腰下千鍾祿 紫紱垂珠拜帝鄉
5678,比,陰陽推算妙如神 音樂笙歌定得真 身著法衣朝玉帝 先天數定降妖人
5681,需,女命辰時數不強 刑非破害在中藏 雖然自己求安定 其奈空為白手忙
5682,節,千里姻緣似綿牽 妻宮配合亦良緣 蘭房屬龍生八子 恰如美玉育藍田
5683,既濟,姻緣配合犯刑傷 剋刑天君命不長 再嫁屬龍光景好 逢春花月自然祥
5684,屯,飛飛燕子去誰家 桃樹移來接李花 莫謂親支非一脈 庭前丹桂正生芽
5685,井,先天定數已排量 兄弟捌人不一娘 次第排來君是二 敬恭和睡莫相忘
5686,坎,生在辰時亦有榮 心靈性巧受宮刑 不登金榜居然貴 出入宮幃紫禁城
5687,蹇,辰時命上有殊榮 不讀詩書名自成 雖然龍虎無名姓 楚楚衣冠亦可欽
5688,比,數定五行金水清 羽毛山水正專精 生花妙手嗚天下 藝術場中立大名
5711,大畜,五千七百逢革卦 與君今說真實話 屬馬慈萱泉下去 屬龍嚴父稱壽邁
5712,損,乘龍快事結佳緣 妻宮必定小五年 鷥鳳一雙稱好合 夫妻偕老更團圓
5713,賁,陰差陽錯命宮操 剋去前妻似棄拋 又娶佳人車氏女 先天數定壽年高
5714,頤,問君生辰是何日 季秋九月二十一 寒窗吹支菊花杯 父母堂中驚喜集
5715,蠱,生逢二刻必重婚 雨洒鴛鴦兩下分 再配屬龍同枕夢 良辰吉日度芳春
5716,蒙,運宮已在甲辰過 喜事閨房正最多 立業治家方上進 妝台明月笑呵呵
5717,艮,數定辰龍是命宮 科甲中人立大名 子年赴會塵嗚宴 丑歲南城更錫勛
5718,剝,菊葉凋殘是孟冬 霜花染得更成濃 生逄閏九二十一 落草堂前結子紅
5721,大畜,雙親宮上犯刑沖 屬羊慈母壽先終 嚴父屬龍稱健步 南山比得是筠松
5722,損,前世姻緣定得真 和嗚鷥鳳度良辰 瑤琴正有佳人伴 妻宮正小十七春
5723,賁,命中注定妻宮破 折藍鴛鴦各管各 失偶尋緣又一緣 再娶佳人必姓賀
5724,頤,三秋將盡葉凋零 松柏森森尚自青 生逢九月二十二 門前弧殀正迎冬
5725,蠱,三刻時辰主犯沖 鴛鴦折散九原中 重偕花燭華堂立 續配佳人必屬龍
5726,蒙,丙辰運上喜重重 吉慶相逢家道隆 蓬蓬勃勃多興旺 十年正主遇春風
5727,艮,命立辰宮是貴星 胸中錦繡顯文名 試罷春闈逢甲子 屢戰屢勝龍虎人
5728,剝,卦逢艮位數最利 生逢閏九二十二 菊花桂子盡凋零 堂上雙親喜康泰
5731,大畜,五千三十歸妹宮 乾坤半成半成凶 屬猴慈母歸泉下 嚴父屬龍壽似松
5732,損,數定姻緣有早遲 夫妻只在兩情怡 妻小於君廿九歲 花前月下作相依
5733,賁,失偶孤鴻嗚不絕 尋盟獨自傷凄切 妻宮重配鄧氏女 相依白首情懷熱
5734,頤,金風吹到菊花殘 父母堂前笑語歡 欲問君自何日降 生辰九月二十三
5735,蠱,魁星照命入辰宮 夫婦必然有剋沖 時辰四刻琴弦續 再娶蘭房必屬龍
5736,蒙,戊辰行運位中央 合宅平安降吉祥 好鳥枝頭亦朋友 落花水面皆文章
5737,艮,立命辰中足自豪 奇謀妙略在當朝 子秋月殿折丹桂 丑歲一定上金鼇
5738,剝,寒窗吹送菊花殘 生逢閏九二十三 鴻雁南來冬日近 庭前芳草發宜男
5741,大畜,五千七百數逢凶 井卦遇辰在命中 慈母屬雞先去世 椿庭龍相壽如松
5742,損,配合姻緣無得失 妻宮必小四十一 果然老少不相論 月老注定真碓的
5743,賁,五千七百四十三 妻宮注定付凋殘 瑤琴若欲重相續 配合佳人必姓丹
5744,頤,寒窗瑟瑟孟秋天 開放菊花在院前 生辰九月二十四 靈胎降世保安然
5745,蠱,時推五刻剋妻宮 月缺花殘帳遠鴻 重整瑤台求匹配 蘭房必是屬龍人
5746,蒙,庚辰運上遂心情 吉慶迎楣喜氣新 好向妝台添綽約 菱花鏡裡有歡容
5747,艮,命立辰宮魚化龍 滿盤珠玉宴瓊林 午科龍虎登金榜 只待來年立大名
5748,剝,金風吹去菊花凋 冬日寒來擁紫貂 生逢閏九二十四 堂前華燭慶良宵
5751,大畜,數臨五千七百五 堂上雙親偏有苦 屬狗母親先化鶴 屬龍嚴父持門戶
5752,損,鴛鴦交結遠相配 妻宮大君整五數 月下老人結成雙 舉案齊眉稱一對
5753,賁,先天數定不由人 剋刑妻宮難保存 再娶佳人廉氏女 洞房新燭又重明
5754,頤,鴻雁飛嗚秋正深 菊花開放似黃金 生辰九月二十五 平生福祿自稱心
5755,蠱,命定時辰六刻真 花燭堂前兩度新 剋妻再配屬龍相 花月恩情海樣深
5756,蒙,運程流轉到壬辰 家宅禎祥喜自生 面對菱花增瑞色 十年舉止甚安榮
5757,艮,命立辰宮魚化龍 虹寬氣吐碧宵中 塵嗚宴罷瓊林宴 午未年間金榜名
5758,剝,鴻雁南飛寒意侵 菊花開罷又梅新 生逢閏九二十五 弧懸此旦慶雙親
5761,大畜,父母宮中仔細詳 難星纏度不為良 屬豬慈母黃泉去 父命屬龍壽歲長
5762,損,前生月老定姻緣 妻宮必大十七年 少陽老陰成佳偶 一枕鴛鴦甜又甜
5763,賁,命中刑剋不平常 數注妻宮命不長 續配佳人華氏女 蘭房又作一新郎
5764,頤,數注辰時生最勤 每天田畝事耕耘 登場禾稼中心樂 秋後酬迎謝鬼神
5765,蠱,生逢七刻主重婚 原配妻房不保存 再娶屬龍方有福 相莊鴻案到長春
5766,蒙,辰時命上亦崢嶸 悟道參禪大有成 身被法衣朝上界 手拿笏板拜天神
5767,艮,立命辰宮吉宿纏 貴人堂上自光鮮 午年龍虎題金榜 未歲春初職位遷
5768,剝,七月途程百里行 一憂一喜甚分明 合家八月來相會 哭泣提防在戶庭
5771,大畜,夫相屬龍亦夙緣 必招代破在身邊 數中注定無差錯 命主前生定自天
5772,損,一生衣祿保平安 不必憂疑問各端 辰日生人多吉象 禎祥福壽享遐年
5773,賁,妻宮前配主分離 再配佳人花姓宜 恩愛山盟遠海誓 月前七夕兩知之
5774,頤,命在辰時亦算良 精心習藝在他方 貴人照顧生涯盛 衣祿豐充返故鄉
5775,蠱,八刻生人主有妨 剋妻數上犯刑傷 鴛鴦折散須重配 再娶屬龍才妥當
5776,蒙,六刻生人別俗門 寺中剃發作僧人 十方衣祿來供養 悟出菩提自在心
5777,艮,生在辰時志氣雄 將星透露顯威風 敕封恩遇多榮貴 耀祖光宗立大功
5778,剝,五千七百七十八 求利求名皆可發 非是先天無定數 過去未來知造化
5781,大畜,妻配屬龍注有傷 其身必主石皮藏 姻緣配合前生定 若無此破必主喪
5782,損,生值辰月注得清 少年勞苦老年享 平常衣祿隨緣過 守分安心度一生
5783,賁,剋害妻宮數已成 先天已定不虛云 重偕花燭蘭房裡 穆氏佳人喜更親
5784,頤,比肩命上犯刑沖 兄弟中多不洽情 陰人口舌常難免 恩反成仇怨暗生
5785,蠱,命中孤硬異尋常 定有六妻剋五房 且喜收梢堅更固 松林芭竹自呈祥
